Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
45,ICARS:24.08.19.072,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446020,04.2027,KPN,Laos,0.5656 g        (-5.0 ; 2.9),101.0%,90.0 - 110.0%,1
46,ICARS:24.08.19.073,KRESSMOX,Amoxicillin,Capsules,500mg,1819,10.2026,KRESS ,Thailand,06130g        (-1.7 ; 2.9),103.1%,90.0 - 110.0%,1
47,ICARS:24.08.19.074,KRESSMOX 500,Amoxicillin,Capsules,500 mg,1888,09.2025,KRESS ,Thailand,0.6123 g        (-1.7 ; 3.9),101.4%,90.0 - 110.0%,1
48,ICARS:24.08.19.075,A.M.MOX,Amoxicillin,Capsules,500 mg,230310,14/03/2026,Mecrophar,Thailand,5899 g        (-3.8 ; 1.7),101.2%,90.0 - 110.0%,1
49,ICARS:24.08.19.076,VEJAR-VK,Penicillin,Tablet,"400,000 IU",2205006,2025/05/04,North china,CHINA,0.2935g        (-1.5 ; 1.1),99.1%,90.0 - 120.0%,1
50,ICARS:24.08.19.077,AZITHROMYCIN,Azithromycin,Tablets,500mg,03,03.2027,PF3,Laos,0.7081 g        (-2.0 ; 2.9),99.9%,90.0 - 110.0%,1
51,ICARS:24.08.19.078,KLORAMPHENICOL,Chloramphenicol,capsules,250mg,313313,01/11/2026,Coduphar,Laos,03988g        (-3.3 ; 5.6),99.5%,98.0 - 102.0%,1
52,ICARS:24.08.19.079,AMPICILLIN,Ampicillin,Tablets,250 mg,2444010,07/07/2027,KPN,Laos,0.3605 g        (-2.4 ; 2.3),96.1%,90.0 - 110.0%,1
53,ICARS:24.08.19.080,GANOSPEC500,Tetracycline,Capsule,500mg,42401,09/01/2027,PICCO,Thailand,0.5048 g        (-2.2 ; 1.0),96.3%,90.0 - 120.0%,1
54,ICARS:24.08.19.081,METROZOL,Metronidazole,Tables,100mg,040524,05-2027,CBF,Laos,05702g        (-3.1 ; 2.9),94.3%,93.0 - 107.0%,1
55,ICARS:24.08.19.082,ERY-500,Erythromycin,Tablets,500mg,020524,11.2026,CBF,Laos,0.5957 g        (- 4.3 ; 2.2),94.8%,90.0 - 120.0%,1
56,ICARS:24.08.19.083,ERYTHRO-250,Erythromycin,Tablet,250mg,312708,11.2026,Coduphar,Laos,0.5064g        (-3.4 ; 3.1),96.0%,90.0 - 120.0%,1
